epoch,train_mse,validation_mse,learning_rate
1,4.488884189347251,4.289370233063414,0.001
2,3.5932896427408214,4.283341697166706,0.001
3,3.3913824019797025,4.180095369464551,0.001
4,3.249444104497376,4.102341775684895,0.001
5,3.0662384320382343,4.205312325887172,0.001
6,2.911728223862881,4.236404720892353,0.001
7,2.7752314729702516,4.330735719017101,0.001
8,2.6237751955968074,4.437558653063161,0.001
9,2.5286990459470857,4.410613992744852,0.001
10,2.388586590251181,4.664760823384348,0.001
11,2.2916417480861226,4.6884607171563895,0.001
12,2.1783365186215047,4.630233581088554,0.0005
13,2.024955058187583,4.7739032864944315,0.0005
14,1.9570445848378812,4.804602117149807,0.0005
15,1.9428278125514051,4.740162636568554,0.0005
16,1.876050018306957,4.889383789588665,0.0005
17,1.8364246880245327,4.834770163174333,0.0005
18,1.790437622530996,4.975172921183715,0.0005
19,1.7431138424831472,5.029728722049151,0.0005
20,1.7112476595372448,4.864919567407112,0.00025
21,1.6372144464566987,4.923014170846969,0.00025
22,1.5916195530514496,5.031302815021766,0.00025
23,1.5860557774528206,4.929965868265278,0.00025
24,1.5775547391049087,4.9969679100012705,0.00025
