event_id,event_timestamp,event_date,event_hour,event_minute,event_index,ghost_index,complete
ghost_relocated_low_171_171_0,1775029860,2026-04-01,7,51,171,171,1
ghost_relocated_low_172_172_1,1775029920,2026-04-01,7,52,172,172,1
ghost_relocated_low_173_173_2,1775029980,2026-04-01,7,53,173,173,1
ghost_relocated_low_179_179_3,1775030340,2026-04-01,7,59,179,179,1
ghost_relocated_low_180_180_4,1775030400,2026-04-01,8,0,180,180,1
ghost_relocated_low_181_181_5,1775030460,2026-04-01,8,1,181,181,1
ghost_relocated_low_182_182_6,1775030520,2026-04-01,8,2,182,182,1
ghost_relocated_low_186_186_7,1775030760,2026-04-01,8,6,186,186,1
ghost_relocated_low_189_189_8,1775030940,2026-04-01,8,9,189,189,1
ghost_relocated_low_190_190_9,1775031000,2026-04-01,8,10,190,190,1
ghost_relocated_low_191_191_10,1775031060,2026-04-01,8,11,191,191,1
ghost_relocated_low_234_234_11,1775033640,2026-04-01,8,54,234,234,1
ghost_relocated_low_258_258_12,1775035080,2026-04-01,9,18,258,258,1
ghost_relocated_low_259_259_13,1775035140,2026-04-01,9,19,259,259,1
ghost_relocated_low_260_260_14,1775035200,2026-04-01,9,20,260,260,1
ghost_relocated_low_261_261_15,1775035260,2026-04-01,9,21,261,261,1
ghost_relocated_low_262_262_16,1775035320,2026-04-01,9,22,262,262,1
ghost_relocated_low_263_263_17,1775035380,2026-04-01,9,23,263,263,1
ghost_relocated_high_313_297_18,1775038380,2026-04-01,10,13,313,297,1
ghost_relocated_high_341_341_19,1775040060,2026-04-01,10,41,341,341,1
ghost_relocated_high_342_342_20,1775040120,2026-04-01,10,42,342,342,1
ghost_relocated_high_345_345_21,1775040300,2026-04-01,10,45,345,345,1
ghost_relocated_high_346_346_22,1775040360,2026-04-01,10,46,346,346,1
ghost_relocated_high_347_347_23,1775040420,2026-04-01,10,47,347,347,1
ghost_relocated_high_348_348_24,1775040480,2026-04-01,10,48,348,348,1
ghost_relocated_high_349_349_25,1775040540,2026-04-01,10,49,349,349,1
ghost_relocated_high_350_350_26,1775040600,2026-04-01,10,50,350,350,1
ghost_relocated_high_351_351_27,1775040660,2026-04-01,10,51,351,351,1
ghost_relocated_high_362_362_28,1775041320,2026-04-01,11,2,362,362,1
ghost_relocated_high_363_363_29,1775041380,2026-04-01,11,3,363,363,1
ghost_relocated_high_364_364_30,1775041440,2026-04-01,11,4,364,364,1
ghost_relocated_high_365_365_31,1775041500,2026-04-01,11,5,365,365,1
ghost_relocated_high_368_368_32,1775041680,2026-04-01,11,8,368,368,1
ghost_relocated_high_372_372_33,1775041920,2026-04-01,11,12,372,372,1
ghost_relocated_high_374_374_34,1775042040,2026-04-01,11,14,374,374,1
ghost_relocated_high_375_375_35,1775042100,2026-04-01,11,15,375,375,1
