datetime,epoch,ghost_index,ghost_type,dist_ghost_pips,atr,body_atr,upper_wick_atr,lower_wick_atr,rsi,close_ret1_atr,close_ret5_atr,close_ret15_atr,vol,vol_ema9,vol_ratio,dist_sh5_above,dist_sl5_below,n_sh5_near,n_sl5_near,dist_sh10_above,dist_sl10_below,dist_bsl_above,dist_ssl_below,dist_bos_above,dist_bos_below,dist_fvg_above,dist_fvg_below,dist_ob_above,dist_ob_below,dist_fib_pips,zz_high_dist_pips,zz_low_dist_pips,traces_3m,traces_5m,traces_10m,traces_15m
2026-07-01T00:58:00-05:00,1782885480,8,1.0000,-133.0000,7.6585,1.0446,0.1632,0.0000,44.37,-0.8814,-0.2938,-1.5669,32.00,39.46,0.8110,4,4,68.00,2.00,90.00,2.00,41.00,0.00,41.00,2.00,13.00,999.00,42.00,12.00,999,999,999,0,0,0,0
2026-07-01T05:30:00-05:00,1782901800,300,1.0000,10.0000,7.0454,0.3194,0.2129,0.3194,62.54,-0.3903,0.8516,3.4065,106.00,94.58,1.1208,4,2,12.00,48.00,71.00,35.00,10.00,10.00,71.00,10.00,3.50,25.00,97.50,21.00,999,999,999,2,4,9,11
2026-07-01T06:03:00-05:00,1782903780,337,1.0000,88.0000,7.2070,1.0753,0.4163,0.2428,72.30,1.1447,2.2894,5.2032,151.00,127.94,1.1802,3,0,999.00,151.00,999.00,235.00,4.00,3.00,4.00,52.00,15.00,21.50,15.00,25.50,999,999,999,3,5,10,15
2026-07-01T14:16:00-05:00,1782933360,805,1.0000,46.0000,14.4761,0.5872,0.2936,0.0000,60.99,0.6390,0.1209,3.6612,403.00,560.07,0.7196,3,2,93.00,200.00,55.00,145.00,32.00,15.00,32.00,37.00,15.00,23.00,25.50,45.00,13,651,424,3,5,10,15
2026-07-01T14:50:00-05:00,1782935400,858,0.0000,-98.0000,16.4086,0.7161,1.1122,0.1067,41.45,0.6856,0.5485,-2.8339,1407.00,789.73,1.7816,2,3,269.00,178.00,155.00,23.00,1.00,23.00,1.00,23.00,21.00,999.00,34.00,124.50,30,852,223,3,5,10,15
2026-07-01T15:56:00-05:00,1782939360,914,1.0000,-75.0000,8.4554,0.2070,0.0296,0.0296,50.43,-0.4139,-0.1478,0.5913,41.00,86.42,0.4744,3,5,47.00,36.00,59.00,36.00,29.00,46.00,194.00,46.00,49.00,42.50,222.50,0.00,402,1224,149,1,3,8,13
2026-07-01T17:56:00-05:00,1782946560,977,0.0000,235.0000,8.0348,2.1469,0.0311,0.0000,62.01,2.1469,2.6759,0.5601,188.00,83.23,2.2588,3,2,11.00,74.00,11.00,45.00,5.00,2.00,110.00,2.00,55.00,52.50,8.50,2.50,163,985,90,0,0,0,0
2026-07-01T18:18:00-05:00,1782947880,1010,0.0000,-97.0000,8.8731,0.6199,0.0282,0.3381,26.52,-0.4508,-1.0988,-4.8461,51.00,84.46,0.6039,0,2,224.00,999.00,33.00,22.00,3.00,22.00,21.00,72.00,23.00,68.50,196.50,7.50,376,1198,123,3,5,10,15
2026-07-01T19:01:00-05:00,1782950460,1055,0.0000,-222.0000,15.4912,1.8559,0.0646,0.4357,27.40,-1.9204,-3.7602,-3.0663,623.00,250.51,2.4870,1,3,276.00,999.00,317.00,999.00,90.00,999.00,97.00,999.00,162.50,999.00,230.50,999.00,660,1482,407,3,5,10,15
2026-07-01T20:05:00-05:00,1782954300,1116,1.0000,267.0000,16.8718,0.0148,0.3112,0.1926,74.12,0.0889,1.3780,5.7492,189.00,173.98,1.0863,2,0,999.00,564.00,999.00,265.00,19.00,12.00,19.00,15.00,5.00,94.00,18.00,137.50,14,836,239,3,5,10,15
