event_id,event_timestamp,event_date,event_hour,event_minute,event_index,ghost_index,complete,ghost_price,ghost_hlc3,atr_1m,volume_1m,volume_ema9_1m,tf1_ob_dist_pips,tf1_ob_width_pips,tf1_fvg_dist_pips,tf1_fvg_width_pips,tf1_fib_dist_pips,tf1_vwap_dist_pips,tf1_vwap_band1_dist_pips,tf1_vwap_band2_dist_pips,tf1_vp_poc_dist_pips,tf1_vp_vah_dist_pips,tf1_vp_val_dist_pips,tf1_bos_choch_dist_pips,tf1_eqh_eql_dist_pips,tf1_sweep_grab_run_dist_pips,tf1_supply_demand_dist_pips,tf1_supply_demand_width_pips,tf1_channel_dist_pips,tf1_channel_width_pips,tf10_ob_dist_pips,tf10_ob_width_pips,tf10_fvg_dist_pips,tf10_fvg_width_pips,tf10_fib_dist_pips,tf10_vwap_dist_pips,tf10_vwap_band1_dist_pips,tf10_vwap_band2_dist_pips,tf10_vp_poc_dist_pips,tf10_vp_vah_dist_pips,tf10_vp_val_dist_pips,tf10_bos_choch_dist_pips,tf10_eqh_eql_dist_pips,tf10_sweep_grab_run_dist_pips,tf10_supply_demand_dist_pips,tf10_supply_demand_width_pips,tf10_channel_dist_pips,tf10_channel_width_pips,tf60_ob_dist_pips,tf60_ob_width_pips,tf60_fvg_dist_pips,tf60_fvg_width_pips,tf60_fib_dist_pips,tf60_vwap_dist_pips,tf60_vwap_band1_dist_pips,tf60_vwap_band2_dist_pips,tf60_vp_poc_dist_pips,tf60_vp_vah_dist_pips,tf60_vp_val_dist_pips,tf60_bos_choch_dist_pips,tf60_eqh_eql_dist_pips,tf60_sweep_grab_run_dist_pips,tf60_supply_demand_dist_pips,tf60_supply_demand_width_pips,tf60_channel_dist_pips,tf60_channel_width_pips,sr_4h_dist_pips,sr_d_dist_pips,sr_w_dist_pips,ghost_type,relocation,Y_3m,Y_5m,Y_10m,Y_15m
ghost_trace_high_13_13_9,1775020380,2026-04-01,0,13,13,13,1,24039,24036.16667,6.428571429,117,85.44005911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,2,3,5
ghost_trace_high_14_14_10,1775020440,2026-04-01,0,14,14,14,1,24045,24041.58333,6.558673469,172,102.7520473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,0,2,3,4
ghost_trace_high_18_18_11,1775020680,2026-04-01,0,18,18,18,1,24046.25,24044.33333,6.127427972,83,85.38803857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,1,3,3
ghost_trace_high_19_19_12,1775020740,2026-04-01,0,19,19,19,1,24046.5,24043.5,6.046897402,38,75.91043086,-16.5,27,,,,,,,,,,6,,,-16.5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,0,1,2,2
ghost_trace_high_24_24_13,1775021040,2026-04-01,0,24,24,24,1,24056.25,24050.58333,6.215872994,338,113.68009,-44.83333333,27,,,,,,,,,,-22.33333333,,-22.33333333,-44.83333333,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,1,1,1
ghost_trace_high_25_25_14,1775021100,2026-04-01,0,25,25,25,1,24073.75,24063.16667,7.396882066,307,152.344072,-87.66666667,22,,,,,,,,,,-66.66666667,,-72.66666667,-95.16666667,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,0,0,0,0
ghost_trace_high_72_72_15,1775023920,2026-04-01,1,12,72,72,1,24079.25,24073.16667,9.334243377,342,158.749809,-112.6666667,44,-81.16666667,19,-63.63866667,-81.20657661,-53.78934266,-26.37210871,-73.04666667,-50.50666667,-107.3466667,-42.66666667,,-34.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,3,5,7,7
ghost_trace_high_73_73_16,1775023980,2026-04-01,1,13,73,73,1,24080.5,24075.16667,9.381797422,276,182.1998472,-75.16666667,25,-89.16666667,19,-71.63866667,-79.23435069,-42.22408349,-5.21381629,-81.04666667,-58.50666667,-115.3466667,-31.66666667,,-42.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,3,5,6,7
ghost_trace_high_74_74_17,1775024040,2026-04-01,1,14,74,74,1,24081.25,24077.5,9.37238332,145,174.7598777,-84.5,25,-39.5,23,-80.972,-81.42339105,-39.45571584,2.511959377,-90.38,-67.84,-124.68,-41,,-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,3,4,5,7
ghost_trace_high_75_75_18,1775024100,2026-04-01,1,15,75,75,1,24095.75,24087.75,10.1314988,413,222.4079022,-125.5,25,-80.5,23,-121.972,-118.7407985,-74.37961562,-30.01843273,-131.38,-108.84,-165.68,-82,,-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,3,3,4,7
ghost_trace_high_76_76_19,1775024160,2026-04-01,1,16,76,76,1,24105,24096.83333,10.67567745,505,278.9263217,-161.8333333,25,-116.8333333,23,-158.3053333,-141.5234411,-85.23192388,-28.94040666,-167.7133333,-145.1733333,-202.0133333,-118.3333333,,-92.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,2,3,3,7
ghost_trace_high_77_77_20,1775024220,2026-04-01,1,17,77,77,1,24106,24101.66667,10.60955764,368,296.7410574,-181.1666667,25,-69.66666667,24,-177.6386667,-143.5266731,-73.29139688,-3.056120632,-187.0466667,-164.5066667,-221.3466667,-137.6666667,,-111.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,2,2,6
ghost_trace_high_78_78_21,1775024280,2026-04-01,1,18,78,78,1,24108,24095.75,11.17316066,321,301.5928459,-157.5,25,-46,24,-153.972,-108.1018106,-30.13883319,47.82414425,-163.38,-140.84,-197.68,-114,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,1,2,6
ghost_trace_high_81_81_22,1775024460,2026-04-01,1,21,81,81,1,24113,24106.58333,11.28760349,317,299.7995371,-200.8333333,25,-89.33333333,24,-197.3053333,-133.7208858,-52.36684564,28.98719449,-206.7133333,-184.1733333,-241.0133333,-157.3333333,,-131.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,0,0,4,7
ghost_trace_high_88_88_23,1775024880,2026-04-01,1,28,88,88,1,24117,24112.91667,10.20366173,223,185.2304207,-226.1666667,25,-114.6666667,24,-222.6386667,-136.0326668,-46.76555208,42.50156262,-232.0466667,-209.5066667,-266.3466667,-182.6666667,,-156.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,3,4,7,8
ghost_trace_high_89_89_24,1775024940,2026-04-01,1,29,89,89,1,24126.75,24120.33333,10.36768589,407,229.5843365,-70.33333333,38,-144.3333333,24,-252.3053333,-161.2211397,-70.14195772,20.93722421,-261.7133333,-239.1733333,-296.0133333,-29.33333333,,-186.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,2,4,6,7
ghost_trace_high_90_90_25,1775025000,2026-04-01,1,30,90,90,1,24131.5,24124.66667,10.96642261,277,239.0674692,-87.66666667,38,-161.6666667,24,-269.6386667,-169.4168872,-73.42245143,22.57198429,-279.0466667,-256.5066667,-313.3466667,-46.66666667,,-203.6666667,,,,,,,-180.6666667,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,2,3,5,7
ghost_trace_high_91_91_26,1775025060,2026-04-01,1,31,91,91,1,24149.5,24140.41667,11.593821,777,346.6539754,-150.6666667,38,-224.6666667,24,-332.6386667,-226.1245195,-126.6302164,-27.13591321,-342.0466667,-319.5066667,-376.3466667,-109.6666667,,-109.6666667,,,,,,,-243.6666667,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,2,3,4,6
ghost_trace_high_93_93_27,1775025180,2026-04-01,1,33,93,93,1,24152,24147.58333,11.32451913,280,336.0985443,-179.3333333,38,-75.83333333,15,-361.3053333,-224.6597666,-104.1597612,16.34024427,-370.7133333,-348.1733333,-405.0133333,-138.3333333,,-138.3333333,,,,,,,-272.3333333,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,2,3,4,6
ghost_trace_high_94_94_28,1775025240,2026-04-01,1,34,94,94,1,24160.75,24154.75,11.37276776,410,350.8788354,-208,38,-104.5,15,-389.972,-246.241769,-121.3265955,3.588577917,-399.38,-376.84,-433.68,-167,,-167,,,,,,,-301,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,2,3,5
ghost_trace_high_96_96_29,1775025360,2026-04-01,1,36,96,96,1,24167,24159,11.67855996,353,342.2024547,-225,38,-121.5,15,-406.972,-245.561063,-109.9021529,25.75675719,-416.38,-393.84,-450.68,-184,,-184,,,,,,,-318,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,1,1,3,4
ghost_trace_high_98_98_30,1775025480,2026-04-01,1,38,98,98,1,24167.5,24159.66667,11.46008486,251,302.809571,-227.6666667,38,-12.66666667,14,-409.6386667,-234.3049149,-90.48453983,53.33583524,-419.0466667,-396.5066667,-453.3466667,-186.6666667,,-186.6666667,,,,,,,-320.6666667,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,move,0,1,3,3
